person_id;person_trip_id;leg_index;access_stop_id;egress_stop_id;transit_line_id;transit_route_id;access_area_id;egress_area_id;transit_mode
1110743;1;8;IDFM:monomodalStopPlace:47684.link:50875;IDFM:monomodalStopPlace:470195.link:128548;IDFM:C01728;IDFM:TN:SNCF:dc5dcce1-206c-4ddc-a087-8642c9be7b66;IDFM:63072;IDFM:73626;rail
11401280;1;6;IDFM:9032.link:659356;IDFM:9051.link:510254;IDFM:C00766;IDFM:FSO:177486-C00766-3317-260;IDFM:66536;IDFM:66594;bus
6501694;1;6;IDFM:463099.link:pt_IDFM:463099;IDFM:463103.link:pt_IDFM:463103;IDFM:C01376;IDFM:RATP:178018-C01376-COU_RATP_5120219_1193703_260;IDFM:71197;IDFM:71056;subway
5462231;1;6;IDFM:23552.link:633284;IDFM:10401.link:348940;IDFM:C01624;IDFM:TCE:175991-C01624-2692-260;IDFM:60273;IDFM:60246;bus
10823172;1;4;IDFM:22399.link:pt_IDFM:22399;IDFM:463324.link:pt_IDFM:463324;IDFM:C01377;IDFM:RATP:174678-C01377-COU_RATP_07JOGEAI4_2024_-1190768827_LaCo03PteI03-13;IDFM:70375;IDFM:70248;subway
5445700;3;6;IDFM:492493.link:12364;IDFM:3780.link:323467;IDFM:C01618;IDFM:TCE:175991-C01618-1510-260;IDFM:60609;IDFM:60275;bus
1095070;1;8;IDFM:16898.link:404751;IDFM:24665.link:633403;IDFM:C01268;IDFM:RATP:156044-C01268-COU_RATP_5110982_3104997_41;IDFM:69912;IDFM:70345;bus
4060983;3;12;IDFM:monomodalStopPlace:461504.link:409603;IDFM:monomodalStopPlace:43147.link:459775;IDFM:C01736;IDFM:TN:SNCF:d4572bc2-f689-4c79-ba43-d9ff53cc33c1;IDFM:63812;IDFM:63426;rail
11529510;3;12;IDFM:monomodalStopPlace:47517.link:300624;IDFM:monomodalStopPlace:43178.link:634293;IDFM:C01737;IDFM:TN:SNCF:5c439233-82bf-4368-99b7-368e9a8081f2;IDFM:66795;IDFM:67292;rail
3589685;3;16;IDFM:monomodalStopPlace:43112.link:367751;IDFM:monomodalStopPlace:47923.link:267285;IDFM:C01740;IDFM:TN:SNCF:4bd27740-b0f9-4d43-80d0-8d9b566f9b44;IDFM:72073;IDFM:72124;rail
7700722;3;16;IDFM:monomodalStopPlace:470549.link:700042;IDFM:monomodalStopPlace:43118.link:158189;IDFM:C01740;IDFM:TN:SNCF:385a6467-969b-4f07-8337-3139c03f3650;IDFM:71517;IDFM:73614;rail
7700723;3;18;IDFM:monomodalStopPlace:470549.link:700042;IDFM:monomodalStopPlace:43118.link:158189;IDFM:C01740;IDFM:TN:SNCF:385a6467-969b-4f07-8337-3139c03f3650;IDFM:71517;IDFM:73614;rail
8502574;3;14;IDFM:479491.link:pt_IDFM:479491;IDFM:478658.link:pt_IDFM:478658;IDFM:C01843;IDFM:TN:SNCF:cb1a9a8c-4f0b-43cf-ad02-ba80808f5b23;IDFM:72037;IDFM:73362;tram
2267976;1;4;IDFM:16908.link:531572;IDFM:6076.link:23239;IDFM:C00551;IDFM:KPB:183071-C00551-622-260;IDFM:67442;IDFM:67403;bus
8363072;2;7;IDFM:26588.link:167900;IDFM:24696.link:532697;IDFM:C01273;IDFM:RATP:167857-C01273-COU_RATP_5117691_3277926_47;IDFM:72607;IDFM:71481;bus
3625966;3;10;IDFM:488021.link:193362;IDFM:18321.link:508470;IDFM:C00744;IDFM:RDMANTOIS:162868-C00744-7113738;IDFM:65786;IDFM:66561;bus
1865645;0;1;IDFM:462999.link:pt_IDFM:462999;IDFM:21903.link:pt_IDFM:21903;IDFM:C01375;IDFM:RATP:158918-C01375-COU_RATP_5112974_3263585_266;IDFM:71957;IDFM:71311;subway
4628547;1;8;IDFM:7686.link:278253;IDFM:7662.link:449831;IDFM:C00298;IDFM:KABS:181862-C00298-267-543;IDFM:64918;IDFM:64979;bus
6992169;2;7;IDFM:22199.link:pt_IDFM:22199;IDFM:22193.link:pt_IDFM:22193;IDFM:C01378;IDFM:RATP:174682-C01378-COU_RATP_08JOLIPPE6_2025_1845212885_Lour01CLac39-12;IDFM:71311;IDFM:71274;subway
2024834;0;1;IDFM:463287.link:pt_IDFM:463287;IDFM:21966.link:pt_IDFM:21966;IDFM:C01381;IDFM:RATP:178020-C01381-COU_RATP_5120281_3166989_284;IDFM:71864;IDFM:71264;subway
9968396;1;12;IDFM:monomodalStopPlace:43071.link:359465;IDFM:monomodalStopPlace:45102.link:180941;IDFM:C01743;IDFM:TN:SNCF:841aabf1-b205-4491-8875-af06eff3b23e;IDFM:72646;IDFM:474151;rail
4750025;1;10;IDFM:34525.link:655385;IDFM:13498.link:407029;IDFM:C00159;IDFM:BOUCLE_DE_LYS:181970-C00159-19871961;IDFM:64622;IDFM:64596;bus
3735930;1;8;IDFM:463139.link:pt_IDFM:463139;IDFM:22381.link:pt_IDFM:22381;IDFM:C01377;IDFM:RATP:174678-C01377-COU_RATP_07JOGEAI4_2024_509130381_Ivry10Ivry06-4;IDFM:71351;IDFM:71337;subway
9108988;2;3;IDFM:427840.link:497860;IDFM:36435.link:191191;IDFM:C01583;IDFM:Transdev_Nord_Seine_Saint-Denis:180895-C01583-19833384;IDFM:72486;IDFM:424956;bus
10410580;2;9;IDFM:463224.link:pt_IDFM:463224;IDFM:22398.link:pt_IDFM:22398;IDFM:C01377;IDFM:RATP:174678-C01377-COU_RATP_07JOGEAI4_2024_-1190768827_Vill07Vill19-12;IDFM:70645;IDFM:70452;subway
1340084;1;4;IDFM:463133.link:pt_IDFM:463133;IDFM:22442.link:pt_IDFM:22442;IDFM:C01379;IDFM:RATP:174674-C01379-COU_RATP_09JOVOLTAIRE3_2024_-2044645166_Sevr09Clou26-13;IDFM:71320;IDFM:71694;subway
11273884;3;10;IDFM:32274.link:179756;IDFM:32359.link:428944;IDFM:C00325;IDFM:KABS:181862-C00325-8348-1819;IDFM:70769;IDFM:64483;bus
4050412;0;3;IDFM:19961.link:641836;IDFM:416870.link:289593;IDFM:C02412;IDFM:TRANSDEV_VEXIN:173389-C02412-19470657;IDFM:65931;IDFM:416872;bus
7676016;1;12;IDFM:monomodalStopPlace:58566.link:155873;IDFM:monomodalStopPlace:43236.link:551430;IDFM:C01739;IDFM:TN:SNCF:4ca54b0e-26a3-4fb9-bf75-6231dac7a227;IDFM:71370;IDFM:72287;rail
3625967;1;6;IDFM:monomodalStopPlace:47885.link:349183;IDFM:monomodalStopPlace:43157.link:256342;IDFM:C01736;IDFM:TN:SNCF:577206f8-065f-4857-a13e-8f1dbeb90e51;IDFM:64199;IDFM:65931;rail
2127172;1;8;IDFM:monomodalStopPlace:470549.link:300141;IDFM:monomodalStopPlace:44199.link:520024;IDFM:C01742;IDFM:TN:SNCF:72bf15e3-5d82-44d2-b3e6-6afaa45f0189;IDFM:71517;IDFM:68153;rail
8873929;1;8;IDFM:monomodalStopPlace:462398.link:571312;IDFM:monomodalStopPlace:43193.link:59977;IDFM:C01743;IDFM:TN:SNCF:cac66827-2c83-4e44-ae22-993dd6961751;IDFM:73596;IDFM:73491;rail
9091472;3;12;IDFM:monomodalStopPlace:58572.link:489609;IDFM:monomodalStopPlace:47901.link:303263;IDFM:C01729;IDFM:TN:SNCF:a05bce3f-5cbf-4e2a-bc73-ffe39649de31;IDFM:478733;IDFM:73297;rail
1609788;3;8;IDFM:37406.link:573607;IDFM:478617.link:434277;IDFM:C01077;IDFM:RATP:182262-C01077-COU_RATP_5123720_3311113_80;IDFM:73623;IDFM:71028;bus
2451497;1;8;IDFM:463206.link:pt_IDFM:463206;IDFM:22367.link:pt_IDFM:22367;IDFM:C01377;IDFM:RATP:174678-C01377-COU_RATP_07JOGEAI4_2024_-1309725238_Arag16Arag06-1;IDFM:478885;IDFM:474149;subway
8389081;3;12;IDFM:7981.link:583538;IDFM:41415.link:76826;IDFM:C01177;IDFM:RATP:178305-C01177-COU_RATP_5119384_3285427_68;IDFM:72145;IDFM:72285;bus
154280;1;6;IDFM:24120.link:pt_IDFM:24120;IDFM:460563.link:pt_IDFM:460563;IDFM:C01391;IDFM:RATP:183113-C01391-COU_RATP_5119958_3157241_41;IDFM:70604;IDFM:71663;tram
12277013;5;8;IDFM:22792.link:322097;IDFM:420440.link:461037;IDFM:C01107;IDFM:RATP:183840-C01107-COU_RATP_5124809_3315041_71;IDFM:71084;IDFM:70721;bus
1931691;2;11;IDFM:24416.link:pt_IDFM:24416;IDFM:24415.link:pt_IDFM:24415;IDFM:C01679;IDFM:RATP:178132-C01679-COU_RATP_5119977_3173059_73;IDFM:73801;IDFM:71889;tram
5467499;2;13;IDFM:488624.link:604166;IDFM:490930.link:162128;IDFM:C00836;IDFM:TRANSDEV_SENART:174584-C00836-19704130;IDFM:62412;IDFM:60450;bus
10923599;3;22;IDFM:463251.link:pt_IDFM:463251;IDFM:22385.link:pt_IDFM:22385;IDFM:C01377;IDFM:RATP:174678-C01377-COU_RATP_07JOGEAI4_2024_-33117422_Ivry02LaCo17-13;IDFM:70537;IDFM:70645;subway
9319409;3;18;IDFM:463039.link:pt_IDFM:463039;IDFM:21941.link:pt_IDFM:21941;IDFM:C01379;IDFM:RATP:174674-C01379-COU_RATP_09JOVOLTAIRE3_2024_-2044645166_Sevr09Clou26-13;IDFM:479928;IDFM:71785;subway
6146137;1;2;IDFM:3113.link:257424;IDFM:3946.link:36793;IDFM:C01956;IDFM:TCE:175991-C01956-1671-260;IDFM:60794;IDFM:60780;bus
7179781;1;6;IDFM:22075.link:pt_IDFM:22075;IDFM:22099.link:pt_IDFM:22099;IDFM:C01371;IDFM:RATP:174676-C01371-COU_RATP_01JONOUMEA1_2024_1247678604_LaDe06Vinc16-18;IDFM:71284;IDFM:71442;subway
9291186;2;7;IDFM:463221.link:pt_IDFM:463221;IDFM:462942.link:pt_IDFM:462942;IDFM:C01379;IDFM:RATP:174674-C01379-COU_RATP_09JOVOLTAIRE3_2024_-209752926_Clou21Sevr06-12;IDFM:71785;IDFM:71673;subway
5051937;0;1;IDFM:29983.link:70625;IDFM:8384.link:114892;IDFM:C01821;IDFM:RATP:174169-C01821-COU_RATP_5119361_2941228_50;IDFM:62896;IDFM:63013;bus
6009945;0;3;IDFM:462118.link:194482;IDFM:3536.link:354088;IDFM:C00680;IDFM:RDSACLAY:183073-C00680-11023242;IDFM:62628;IDFM:60969;bus
686972;1;4;IDFM:21954.link:pt_IDFM:21954;IDFM:490841.link:pt_IDFM:490841;IDFM:C01384;IDFM:RATP:174677-C01384-COU_RATP_14JONINEY02_2025_-1352604585_Pl1409Or1420-15;IDFM:71557;IDFM:70645;subway
133819;2;5;IDFM:462960.link:pt_IDFM:462960;IDFM:21998.link:pt_IDFM:21998;IDFM:C01381;IDFM:RATP:178020-C01381-COU_RATP_5120281_3166990_313;IDFM:71311;IDFM:71853;subway
7980660;1;6;IDFM:491271.link:120370;IDFM:19492.link:309473;IDFM:C01580;IDFM:Transdev_Nord_Seine_Saint-Denis:180895-C01580-19833181;IDFM:491380;IDFM:72709;bus
8183367;1;10;IDFM:22115.link:pt_IDFM:22115;IDFM:463111.link:pt_IDFM:463111;IDFM:C01372;IDFM:RATP:174679-C01372-COU_RATP_02JOCAMELIA4_2024_-228784835_Nat224Daup07-21;IDFM:71435;IDFM:71853;subway
8170513;0;1;IDFM:27195.link:102022;IDFM:8340.link:563706;IDFM:C01295;IDFM:RATP:178221-C01295-COU_RATP_5121662_2990292_54;IDFM:72571;IDFM:72639;bus
8830643;4;9;IDFM:24398.link:pt_IDFM:24398;IDFM:462437.link:pt_IDFM:462437;IDFM:C01679;IDFM:RATP:146338-C01679-COU_RATP_5097502_3173057_138;IDFM:73799;IDFM:72081;tram
6063425;1;4;IDFM:2582.link:524493;IDFM:2584.link:122032;IDFM:C00358;IDFM:KVYVS:175710-C00358-3862-260;IDFM:62818;IDFM:62907;bus
5863665;3;20;IDFM:25723.link:703570;IDFM:463668.link:642173;IDFM:C02251;IDFM:RATP:178183-C02251-COU_RATP_5120626_3203882_38;IDFM:71607;IDFM:463639;bus
4650335;1;2;IDFM:7670.link:634090;IDFM:5387.link:488733;IDFM:C00437;IDFM:FVP:173906-C00437-504-C00437-801-165313;IDFM:65068;IDFM:64918;bus
